,word
661,بَھْرنا
662,اُدَھر کی اُدَھر کَرْنا
663,اَرمال
664,اِلْزام دینا
665,اَبُھو
666,اَرمان
667,اَبُھوکْتا
668,اَبُھوکَن
669,اَبھوگ
670,اَبھوگ پَرَن
671,اَبھوگی
672,اَبھول
673,اُدَھر
674,اِدَھر
675,اَدَھر
676,اَبھولا
677,اَبُھوں
678,اُوپری دِل سے
679,اُریب
680,اُریب دار
681,اُریب سُریب
682,اُریْبْواں
683,اُریبی
684,اُرَبری
685,اَن جانْتا
686,اَرِیْکَہ
687,اَن جانْگی
688,ربْنڈی
689,اَینْڈ پڑنا
690,اَینْڈ مال ہے
691,اَینْڈ دیکْھنا
692,اَرْبَوی
693,اَینْڈ کَرْنا
694,اَینڈا
695,اَن جانی
696,اَڑ
697,اُڑ
698,اِڑ
699,اَبھی
700,اَن جَنْتا
701,اَینڈا بیَنْڈا
702,اَینْڈا
703,اَبھی اَبھی
704,اَینْڈا
705,اَبھی پانی کے گَھڑے بَھرنے ہیں
706,اَن چَاہت
707,اَینْڈَل پَنا
708,اَینْڈَل پَن
709,اَبھی تَلَک
710,اَبھی تَک
711,اَن چِتّا
712,اَن چِت
713,اَبھی تو بیٹی باپ ہی کے گھر ہے
714,اَن چِھلا
715,اَبھی تولَہ اَبھی ماشَہ
716,اَبھی چَھٹی کا دُودھ نہیں سُوکھا
717,اَن چِھلی ٹھوک دینا
718,اَبھی دلّی دُور ہے
719,اَبھی دُودھ کے دانت نہیں ٹُوٹے
720,اَن چھیڑ
721,اَڑ بال
722,اَینْڈْنا
723,اینْڈْوا
724,اَبھی دیکھا کیْا ہے
725,اَبھی رو رو کے روٹی مانگتا ہے
726,اینْڈْوی
727,اَڑ بَڑ
728,اینْڈْوی کا کَنگَن
729,اَڑ ـ بَڑنْگ
730,اَینْڈی
731,اَلْسیٹ اَلْسیٹھ باز
732,اَن دیکھا
733,اَڑ بَند
734,اَبھی سے
735,اَلْسیٹْیا اَلْسیٹْھیا
736,اَن دیکھی
737,اَڑ بَنْگا
738,اَینْڈی بَینْڈی
739,اَبھی کَچّا بَرْتَن ہے
740,اَینْڈی بَینْڈی پَڑْنا
741,اَڑ بَنگا
742,اَبھی کَچّے گَھڑے پانی کے بَھرنے ہیں
743,اَن دیوا
744,اِینْڈھی
745,اَبھی کُچھ نہیں بِگڑا ہے
746,اینَک
747,اَن دَھری
748,اَڑ بَیٹْھنا
749,ایِنْگ
750,اوڑْنا
751,اَن سَمَجھ
752,اَبھی کَفَن بھی مَیلا نہیں ہوا
753,اِینْگَر
754,اَڑ
755,اِڑ
756,اُڑ
757,اِینْگْرَوتی
758,اَڑ پَکَڑنا
759,اَن سَمْجھی
760,اَڑ دینا
761,اَڑ ڈَنْڈا
762,اَن سَمْجھے
763,اَن سَمْجھے
764,اَینْگْلو
765,اَڑ رَہْنا
766,اَینْگْلو اِنْڈیَن
767,اُوڑْنا
768,اَڑ رَھبا
769,اِینْگَور
770,اَڑ ضامِنی
771,اَن سُنی
772,اِینْگْھنا
773,اَڑ کَسْب
774,اَڑ ماپ
775,اِینْگھے
776,اَڑ مان
777,اِینو
778,اوڑَنْ پِچھوّرا
779,اُڑ
780,اَڑ
781,اِڑ
782,اُڑ بھاگْنا
783,اَن سُنی کرنا
784,آَینْوَرْسَری
785,اُوڑَنْتا کَھٹولا
786,اَینی
787,اوڑْنی
788,اَن سوچ
789,اوڑْوالا
790,اَن سِیکھا
791,اُوڑی
792,اَن کَرا
793,اُڑ بَھنْبِھیْری ساون آیا
794,اُڑ پَہْیا
795,اُڑ جاۓ
796,اُڑ چَلْنا
797,اَن کہَا
798,اَفْسوں
